rna	k9ac	k36ac
RP4-740C4.5	-0.712773	-0.769811	-0.106688
RP4-742C19.13	-1.8809	0.663376	0.0745089
RP4-755D9.1	0.521976	0.0648363	-0.231088
RP4-756H11.5	-0.00522165	0.265805	-0.267247
RP4-758J18.13	0.92242	-0.888	-0.788689
RP4-758J24.5	-0.212933	0.00831237	-0.0990005
RP4-764D2.1	-0.169628	-0.277266	-1.25659
RP4-765C7.2	0.0197422	0.0145701	0.66728
RP4-773N10.4	-0.762991	0.614017	-1.33236
RP4-775C13.1	-0.262413	0.050126	0.230867
RP4-778K6.1	0.0684082	2.09629	-0.292756
RP4-785G19.2	-0.47369	-0.633118	1.39378
RP4-794H19.1	-0.176946	8.63305	0.483308
RP4-798A10.2	0.201238	0.486617	-0.442214
RP4-798P15.3	0.126692	0.579412	-0.418005
RP4-800G7.2	-0.85052	0.207958	-3.47495
RP4-800J21.3	0.423863	3.24815	0.408434
RP4-813F11.4	-0.387961	1.14469	-0.747993
RP5-1009N12.1	0.646389	0.781446	0.137339
RP5-1014D13.2	0.530349	-0.0379642	-1.15579
RP5-1027O11.1	-1.32084	1.19596	3.39052
RP5-1052M9.1	-0.756095	0.203231	0.381442
RP5-1053E7.3	0.249997	-0.285185	-0.409392
RP5-1057J7.7	-0.390037	1.53996	-1.01178
RP5-1074L1.4	0.851823	1.27596	0.066551
RP5-1092A3.4	-1.5377	3.52697	-0.256754
RP5-1112D6.4	-1.58313	-0.965789	-0.318997
RP5-1112D6.8	0.0815281	0.293353	2.10558
RP5-1119A7.14	-0.291208	8.11647	5.04697
RP5-1120P11.1	-0.337723	5.55358	3.57248
RP5-1139B12.2	0.049528	0.750862	-1.21756
RP5-1159O4.1	-0.329356	-0.138459	-0.264147
RP5-1159O4.2	0.114139	-0.00957534	1.30089
RP5-821D11.7	-0.629612	0.288459	0.342185
RP5-854E16.2	-0.1603	-0.193387	0.334154
RP5-894A10.2	-0.160855	0.297319	0.0208493
RP5-894A10.6	0.139968	-0.433374	-0.0766714
RP5-961K14.1	0.873705	-0.112496	0.162066
RP5-994D16.9	0.743506	0.811791	-0.395143
RP6-218J18.2	-0.289274	0.142527	0.278785
RP9	-0.387301	3.27057	-0.289318
RP9P	0.227619	4.19635	0.188741
RPA1	0.129104	4.58102	0.0147534
RPA2	-0.630107	2.35172	-0.972597
RPA2P2	0.219904	-1.64165	-0.594756
RPA3	-0.528402	0.488221	0.686829
RPAP1	0.341932	-0.158311	-2.14566
RPAP2	-0.458778	1.76711	-0.714253
RPAP3	0.393369	2.0788	-0.16508
RPARP-AS1	0.124282	-0.187868	0.229259
RPE	0.989609	4.74845	-0.0935601
RPF1	-0.496819	2.89511	-0.0885293
RPF2	0.0121225	3.63696	0.235258
RPF2P1	0.23353	1.29023	0.871489
RPGR	-0.690914	0.839744	0.0118953
RPGRIP1L	0.830561	-0.19015	2.55044
RPH3AL	0.224214	-0.296812	-3.14011
RPIA	-0.753416	3.31448	-0.876121
RPL10	-0.468214	-0.00271761	-0.403338
RPL10A	-1.2427	0.0395693	-0.0241459
RPL10AP2	0.0548559	-0.00931793	-0.345618
RPL10AP6	-1.62308	1.46012	0.28629
RPL11	-1.84744	5.70807	-0.679571
RPL13	-1.72273	1.10627	0.619799
RPL13A	-0.969849	0.986451	0.341951
RPL13AP25	-0.259026	-0.110284	0.257745
RPL13AP5	-0.666019	-0.577404	0.204201
RPL13AP6	0.0579187	2.94546	0.734151
RPL13P12	-1.45071	-0.515837	-1.60442
RPL13P2	-0.962059	-0.183813	-2.05306
RPL14	-1.60727	5.86151	-0.314585
RPL14P1	-0.470012	-0.764413	0.295071
RPL14P3	-1.05484	-0.0375534	1.37573
RPL15	-0.789508	-0.717721	0.313302
RPL15P3	0.154371	-0.31062	-0.0674771
RPL18A	-0.241753	0.683741	0.837547
RPL18AP3	-0.546808	-0.0384742	0.0388664
RPL18P13	-1.22549	0.068585	0.143919
RPL19	-1.79181	4.59939	-0.0522136
RPL19P12	-1.00254	-0.161234	-0.144148
RPL22	-0.48469	2.74624	-0.569898
RPL22L1	0.105714	3.34116	-0.103198
RPL23AP53	-0.00547623	0.965219	1.08979
RPL23P8	-0.819228	-0.348407	0.0539132
RPL24	-0.5276	10.8798	0.179956
RPL24P2	0.663722	-1.25551	0.016418
RPL24P4	-1.27386	-0.0342461	-0.674992
RPL24P8	-1.47584	1.19467	0.353838
RPL27	-1.30521	5.22648	-0.330641
RPL27A	-2.62336	2.824	-1.01664
RPL27AP	0.222497	-0.292407	-0.516924
RPL29	-1.59715	2.5551	-0.956185
RPL3	0.352267	-0.285262	-0.187921
RPL30	-1.64453	4.42775	1.10511
RPL30P14	-0.890967	-0.0831786	0.897459
RPL30P4	-0.0618386	-0.0996998	-0.544695
RPL31	-1.17801	-0.358371	-0.41485
RPL31P2	-0.730641	0.0413232	-0.16569
RPL32	-2.69039	-0.0602281	-2.00568
RPL32P3	-0.37551	0.565356	-0.561993
RPL34	-2.26222	1.4384	0.360571
RPL34P18	-0.477178	0.48686	0.494233
RPL34P27	0.602113	0.736159	-1.40291
RPL35A	-2.98328	-0.126598	0.259961
RPL35AP21	-1.8719	0.0840486	-0.242654
RPL35P2	-0.432028	0.203013	0.0302493
RPL36	-1.7206	2.20565	-2.21584
RPL37	-2.88015	6.03772	-0.104995
RPL37A	-2.59823	0.0642284	-0.659336
RPL37AP1	-1.01246	0.0408414	0.0464677
RPL37AP8	-0.310913	-0.296777	-0.573342
RPL38	-1.25545	2.24572	-0.464791
RPL38P3	0.0167053	-0.929504	0.152994
RPL39	-0.512254	5.42341	-1.04709
RPL39P3	-0.495303	-0.961714	0.155581
RPL3L	-0.226733	5.05587	0.420414
RPL3P2	0.0866822	-0.0276667	0.314249
RPL3P7	0.00220836	-2.03272	-0.619813
RPL4	-0.659107	0.185938	-1.57147
RPL41	-1.34577	-0.124588	0.825232
RPL4P3	-0.261614	-0.524154	0.814537
RPL4P4	-2.55842	0.320357	-0.28517
RPL4P5	-0.452217	-0.432037	0.298716
RPL5	-1.34689	4.66262	-0.11712
RPL5P1	-0.116741	-0.503642	-0.303068
RPL5P17	0.0579868	0.0367814	0.122017
RPL5P34	0.0665097	0.718082	-0.0572993
RPL5P5	0.021825	-1.53253	1.00583
RPL6	-1.51081	4.06741	-2.03913
RPL6P27	-0.473537	-0.316603	0.213043
RPL7	2.39022	0.386847	-1.52543
RPL7AP30	-1.37374	0.183131	-0.00180399
RPL7AP34	-0.206259	-1.00185	0.53069
RPL7AP4	-0.199766	-0.0959391	-0.223875
RPL7AP6	-0.784773	-0.0327417	0.132722
RPL7L1	0.231492	5.45256	-0.282116
RPL7P3	-1.51496	-0.862143	-7.01507
RPL7P9	-0.235072	0.70128	0.780357
RPL9	0.0406135	0.607923	0.114344
RPLP1	-1.74961	4.8454	-0.110725
RPN1	-1.20962	3.66622	-0.199907
RPN2	-0.126926	6.21972	0.32793
RPP14	0.0475862	2.69164	-0.371323
RPP25L	-0.81935	4.01153	-1.19217
RPP30	0.69438	6.06397	1.12153
RPP40	-0.0295582	6.31477	-0.259706
RPRD1A	1.49016	4.4651	0.703623
RPRD1B	1.30784	5.42582	-0.150947
RPRD2	0.824836	7.99021	0.0586163
RPS12	-2.77937	0.648312	0.221699
RPS12P26	0.327466	0.513223	-1.99151
RPS13	-2.96464	-0.000240273	0.242704
RPS13P2	-1.06362	1.85788	-0.124742
RPS14	-0.961608	4.90438	0.00209784
RPS14P3	0.189524	2.69381	-0.167134
RPS14P8	-0.454766	4.20721	0.914165
RPS15	-0.550447	0.882569	-0.645515
RPS15A	-1.62973	10.0305	0.216376
RPS15AP1	-0.473801	0.894452	-0.219382
RPS15AP10	1.50174	0.398925	-0.716858
RPS15AP38	-1.58108	0.0543438	-1.67649
RPS16	-1.85037	-0.0219267	-1.50383
RPS17	-2.04489	0.343873	0.292308
RPS18P12	0.28169	-0.118346	1.16298
RPS19	-1.25375	3.18403	-1.58584
RPS19BP1	-0.0399323	3.27614	-0.796812
RPS19P1	-0.604505	0.144046	0.0226054
RPS19P3	0.57939	0.551909	-0.242138
RPS20P10	-1.20726	-0.183059	0.212672
RPS20P14	-1.02354	0.41984	-0.00679071
RPS20P35	-1.13119	-0.435114	-0.116461
RPS23	-0.525822	0.174806	0.238438
RPS23P8	-0.468935	-0.709943	0.156404
RPS24	-2.21248	5.25821	-0.69715
RPS24P13	-0.0982088	-1.23588	-0.324944
RPS27	-0.085501	5.10276	-0.368379
RPS27A	-1.55326	0.579576	-1.4691
RPS27L	-1.43765	5.84031	-0.294891
RPS27P27	0.140247	-0.1254	0.727832
RPS28P7	-2.87305	-1.30843	0.475091
RPS2P46	-0.296645	2.14394	-0.1775
RPS2P5	-0.389558	-0.0605303	-0.332351
RPS3	-0.615838	0.352279	-0.750428
RPS3A	0.178621	1.67472	0.0861193
RPS3P6	0.216423	-0.308605	0.772848
RPS4X	-0.99039	1.65085	-0.205926
RPS4XP1	-0.108519	-0.51161	1.01164
RPS4XP13	-0.136226	-1.20764	-0.249161
RPS4XP14	0.195027	1.15864	0.797929
RPS4XP2	-0.621754	-1.15205	0.266731
RPS4XP3	-2.12149	-1.61219	0.400572
RPS4XP5	-1.10499	0.310935	1.21613
RPS4XP6	-0.143016	-0.489552	-0.241008
RPS4Y1	0.0469636	0.695079	-1.1115
RPS5	-1.59619	4.16628	-0.0887832
RPS6	-2.14528	1.68201	0.41776
RPS6KA2	0.701145	0.474017	-1.97599
RPS6KA3	1.38053	8.92214	2.50757
RPS6KA4	-0.264576	0.310878	0.210336
RPS6KA5	0.277839	0.0653739	-0.00912138
RPS6KA6	0.150035	0.366538	-0.233058
RPS6KB1	1.46651	1.05461	-0.312711
RPS6KB2	0.208415	2.81198	-0.942286
RPS6KC1	0.174503	5.54931	0.154857
RPS6KL1	-0.521766	1.96379	-5.22148
RPS7	-0.859461	2.93061	-0.367794
RPS7P1	-0.758697	-0.290366	-0.144591
RPS9	-0.567663	1.4081	-1.6341
RPSA	-0.160623	-0.637756	-1.31307
RPSAP53	0.0104353	-0.121335	-0.0768654
RPSAP58	-1.12611	-3.06039	-0.14113
RPTOR	-0.580337	1.06656	-3.53836
RPUSD2	0.126161	8.59787	0.358016
RPUSD3	-1.48941	1.21057	0.023916
RPUSD4	-0.303878	1.07225	-0.107969
RQCD1	-0.204509	1.01238	0.140684
RRAD	0.0633842	10.1541	1.39861
RRAGB	-0.544983	3.16963	-0.509606
RRAGC	-0.0390363	1.64935	-0.873163
RRAGD	0.217049	10.0276	2.54352
RRAS	-1.4169	2.26566	-0.298566
RRAS2	0.192533	3.96912	0.379738
RRBP1	0.338242	1.20289	-2.83231
RREB1	1.12293	8.43707	0.00159936
RRM1	0.0459906	3.435	-0.295559
RRM2B	2.13232	1.42078	-0.437431
RRN3	0.74085	0.0967445	-0.241607
RRNAD1	-0.201545	0.217665	-0.326307
RRP1	0.118081	0.237469	-4.90572
RRP12	0.121082	-0.219701	-2.45484
RRP15	0.127536	6.54061	-0.262796
RRP1B	0.178118	0.106743	-0.833601
RRP36	-0.107435	4.57338	-0.604839
RRP7A	0.089943	0.197934	-0.793451
RRP7B	0.0269609	0.238734	-0.939795
RRP8	-0.000934213	2.77938	-0.552934
RSAD1	-0.22385	4.80232	-0.245184
RSAD2	-0.553831	7.14737	3.29321
RSBN1	0.867053	1.97721	-0.217819
RSBN1L	-0.0835116	8.14774	0.56667
RSF1	-0.752022	1.34778	-0.575614
RSL1D1	-0.36996	0.168809	-0.949359
RSL24D1	-2.26508	10.4113	-0.22452
RSL24D1P1	0.160337	-0.109499	0.095752
RSPH3	0.0620432	1.64996	0.346379
RSPH4A	-0.549418	2.21893	0.210209
RSPO3	0.135923	3.6153	-0.278578
RSPRY1	-0.306822	-0.238218	-0.491504
RSRC1	0.00464573	0.779754	0.478526
RSRC2	-0.121138	2.77651	-1.87682
RSRP1	-4.90109	4.82969	-0.811433
RSU1	-0.219617	6.18135	-0.00807067
RTCB	-0.117397	4.62341	-0.702483
RTEL1-TNFRSF6B	-0.286687	-0.0414312	-3.4743
RTF1	-0.524653	3.36845	-5.08297
RTFDC1	0.170489	0.778375	-1.07677
RTKN	-0.568378	1.37068	-0.768154
RTN1	1.70584	-0.071455	-0.100842
RTN2	-2.37727	8.91942	2.65414
RTN3	0.28823	2.63929	0.38061
RTN4	-0.225621	20.8338	1.26772
RTN4IP1	-0.487504	0.865813	0.798722
RTTN	-1.20897	4.51136	0.781586
RUFY1	-0.311309	2.78601	-3.33108
RUFY2	0.18156	2.58337	-0.91168
RUFY3	-0.0095719	4.48934	-0.101581
RUNX1	0.0134227	4.91949	0.120504
RUNX1T1	-0.507554	13.6632	0.192319
RUNX2	-0.016388	2.06802	0.694416
RUSC1	0.289761	0.395922	-0.103722
RUSC2	0.732467	4.08564	0.647128
RUVBL1	-0.326601	1.47817	-0.455178
RUVBL2	-0.0365722	1.50394	0.0596401
RWDD1	-1.73938	9.85336	-0.0480123
RWDD2B	-0.526034	2.22643	0.211519
RWDD3	-0.246905	7.4914	1.09953
RWDD4P2	-0.790944	1.47488	0.588995
RXRA	1.3994	4.33061	0.342281
RXRB	-0.460252	0.36592	-0.55048
RXRG	-0.959936	10.4459	0.321478
RYBP	7.96241	6.05961	-0.204145
RYK	0.888764	1.72021	-0.0236881
RYKP1	-1.10215	2.09866	0.650242
RYR1	2.63501	3.45204	-4.81775
RYR3	1.24411	-0.043431	-0.114375
S100A10	-0.81107	1.40368	-0.625206
S100A11	-0.0264477	1.04441	0.0180926
S100A16	-1.01627	1.62209	-0.807129
S100A4	-1.16103	0.28238	-0.657298
S100A6	-0.866818	0.269604	1.43353
S100PBP	0.553989	1.17981	-0.341477
S1PR1	0.0805984	-0.406107	-0.0873651
S1PR3	0.887306	-0.288506	-0.962406
SAAL1	0.335347	1.04296	-1.46324
SAC3D1	0.732883	0.344436	-0.601589
SACM1L	1.21206	1.52635	-0.0630018
SACS	3.7557	7.28259	0.0776757
SAE1	0.246312	2.81412	-0.636529
SAFB	0.233898	-0.054532	-5.75731
SAFB2	-0.685884	0.953579	-3.65943
SALL2	0.07549	0.707149	-1.02848
SAMD1	0.067169	2.61676	-0.938285
SAMD10	-0.193276	-0.480083	0.249208
SAMD13	-0.934478	4.57264	1.15725
SAMD14	2.83398	1.51607	0.486762
SAMD4A	1.41636	11.2121	1.47699
SAMD4B	0.607672	1.70122	-2.56667
SAMD8	-0.308729	5.70771	0.0395324
SAMD9	-1.13179	0.259957	1.14626
SAMD9L	0.677933	3.38786	0.0694079
SAMHD1	0.815146	1.31898	-0.627136
SAMM50	-0.407957	1.53076	-1.93509
SAMM50P1	-0.117096	-0.744307	0.205516
SAP130	0.107209	3.13971	-0.0294073
SAP18	-0.0281748	1.38057	1.33433
SAP30BP	-0.520872	1.74836	-1.66375
SAP30L	0.439354	1.28562	-0.762681
SAR1A	-0.00284765	8.09016	-0.278623
SAR1B	0.161372	9.00643	0.189551
SARAF	0.214357	0.00934704	0.516637
SARDH	-3.12083	-0.975368	-2.52231
SARM1	0.230842	-0.0558111	-1.82642
SARS	-0.966736	4.65968	-1.11338
SARS2	-0.339743	-0.661726	-2.45725
SART1	0.411613	1.3188	-4.1951
SART3	0.0345675	4.57799	-0.0781402
SASH1	1.14974	2.74261	0.227654
SATB1	0.947534	9.35544	0.26077
SATB2	-0.120983	2.25267	-1.87128
SAV1	0.34693	5.39834	-0.155411
SAYSD1	-0.0635157	4.41078	0.0763463
SBF1	0.746103	-0.0967586	-13.2113
SBF1P1	-0.497457	-2.88013	-0.536923
SBF2	0.275367	2.34159	0.184748
SBF2-AS1	0.00949165	0.17628	-0.0165673
SBK3	0.431564	2.62546	0.0898917
SBNO2	0.500322	0.73308	-4.01103
SC22CB-1E7.1	-0.414804	-0.039737	-0.00781353
SC5D	0.00785811	6.31511	-0.103608
SCAF1	0.659211	0.794844	-1.91071
SCAF11	0.425814	15.7771	-0.0385819
SCAF4	1.98974	2.3347	-2.20895
SCAF8	1.75534	3.40577	0.80098
SCAI	2.77835	2.43299	-0.416582
SCAMP1	0.0168058	1.20608	-0.0716516
SCAMP2	-1.65709	2.44175	-1.03965
SCAMP3	-0.332661	3.23635	-1.75417
SCAMP4	0.822635	-0.945254	-6.56707
SCAND1	-0.77999	-0.2709	-0.320079
SCAND2P	-0.0374566	2.61148	-0.36264
SCAP	-0.532804	1.60616	-2.70781
SCAPER	0.285099	2.10792	0.727607
SCARA3	-0.0267219	-0.539038	-2.98842
SCARA5	1.09006	0.431236	-0.447516
SCARB1	-0.691019	1.29805	-0.879271
SCARB2	0.401945	5.34421	0.132657
SCARF1	0.00255305	0.285652	-1.65741
SCARF2	3.0717	-0.128548	-5.18355
SCARNA15	0.596853	3.35125	0.415008
SCARNA7	1.19687	0.476234	-0.598653
SCART1	-0.197799	-1.89185	-0.603049
SCCPDH	-1.47173	1.23748	0.246166
SCD	0.47828	-0.109078	0.31717
SCFD1	-0.156324	4.96349	-0.0776334
SCFD2	-0.234239	6.11771	0.632487
SCGB2B2	0.214591	0.71699	-0.891679
SCHIP1	0.0897489	8.0603	0.34553
SCLT1	0.198124	-0.0652817	2.18659
SCLY	-0.727096	0.921268	-5.00761
SCMH1	-0.161017	0.561212	-1.33509
SCML1	0.50363	6.9169	1.10936
SCML2	0.905069	1.14057	-0.462485
SCN1B	-1.03127	5.07291	0.219845
SCN2B	0.0802567	4.52184	0.858608
SCN3B	0.334324	3.51612	0.450402
SCN4A	-0.0247652	4.01344	0.0579878
SCN4B	-0.000340308	3.23528	-0.352944
SCN7A	2.08628	-0.0698739	1.55516
SCN9A	-1.05249	1.41334	-0.0382729
SCNN1D	-0.980899	-0.449972	-5.13886
SCOC	0.331239	1.82402	0.331255
SCP2	-0.129413	5.69614	-0.29427
SCPEP1	-0.312141	1.84657	-0.592519
SCRIB	1.73789	-1.90772	-7.00485
SCRN1	0.331405	-1.48781	-0.0106751
SCRN2	-0.693139	0.59999	-1.71803
SCRN3	0.276268	1.02859	-0.132037
SCT	-0.12849	1.98102	-0.0404023
SCUBE2	0.0243613	0.11969	-1.74046
SCUBE3	0.423663	0.297304	-1.21005
SCYL1	-0.551288	1.5247	-3.15879
SCYL2	0.962197	0.782981	-0.188309
SCYL3	-0.294736	4.08801	-0.368253
SDAD1	-0.335469	3.93445	0.387815
SDAD1P1	0.354929	0.156464	0.073326
SDAD1P2	0.123131	0.141835	0.216497
SDC2	0.279734	2.87901	0.0732282
SDC3	0.0556268	-0.15507	-2.64219
SDC4	6.74104	0.967394	-0.492561
SDCBP	2.50171	11.9388	0.183506
SDCBPP3	0.790328	-1.18213	-0.410768
SDCCAG3	-2.75536	0.0875087	-0.468036
SDCCAG8	0.0159486	0.601704	0.365068
SDE2	3.23463	7.0264	-0.833938
SDF2L1	-1.01946	-0.191895	-1.00792
SDF4	-0.115695	-0.138156	-5.1233
SDHA	0.0621833	0.999597	-1.60913
SDHAF1	-0.206153	2.26634	0.191554
SDHAP1	-1.10716	0.856673	-3.82619
SDHAP3	0.362859	-0.00869461	-1.02429
SDHB	-0.804524	5.25881	-1.58862
SDHC	2.14318	6.78303	0.286221
SDHCP2	-0.334916	0.946659	-0.0578265
SDHCP4	2.46555	-0.484339	0.30778
SDHD	0.181869	0.346119	0.548319
SDK1	0.303113	-3.36353	-2.8678
SDR39U1	-0.0060457	5.01178	0.337844
SEC11A	-0.830157	6.01217	-0.188156
SEC11B	0.338748	-0.392622	1.03421
SEC11C	-0.831199	0.854833	-0.285612
SEC13	-0.563228	1.47724	-1.88055
SEC14L1	1.85957	11.3985	-0.731031
SEC14L1P1	-0.542943	0.524168	0.0526642
SEC14L5	-0.391995	2.1822	-1.38735
SEC16A	0.362228	-0.526715	-3.97486
SEC16B	0.200915	1.06596	0.213806
SEC22A	-0.247658	3.11528	-1.40328
SEC22B	0.516044	8.3613	0.119421
SEC22C	0.89613	0.131127	-0.373207
SEC23A	1.87829	1.14524	-1.3398
SEC23B	1.40202	2.15417	0.14677
SEC23IP	0.0359923	0.139342	-0.634874
SEC24A	2.21216	0.365904	-1.13458
SEC24C	0.138408	0.359186	-0.032238
SEC24D	0.0240276	7.34391	0.826753
SEC31A	0.402836	7.2471	-0.390891
SEC31B	-3.57948	1.34094	-2.07722
SEC61A1	0.0346858	6.5247	-3.27197
SEC61A2	0.478256	-0.574661	-0.218729
SEC62	-0.253498	1.66563	0.0812707
SEC63	0.326583	1.37519	-0.26852
SEC63P1	-0.0227827	0.111329	-0.091207
SECISBP2	0.0829358	5.4555	-1.27432
SECISBP2L	2.03373	3.70702	1.18487
SEH1L	0.0796533	2.97701	-0.0975959
SEL1L	0.964694	3.62237	0.725428
SEL1L3	-0.0632707	-1.09288	0.0639878
SELENBP1	-0.938001	2.97824	-0.0987532
SELK	-0.535247	8.49451	2.0393
SELM	-0.388436	2.33949	-0.639618
SELT	1.07942	4.3375	-0.619356
SEMA3C	0.701807	6.40412	0.446673
SEMA3F	3.26999	-0.204191	-4.42714
SEMA3G	1.08531	0.0462614	-1.49591
SEMA4A	1.67131	0.291939	-2.60481
SEMA4B	-0.0706633	1.51436	-2.65375
SEMA4C	13.5891	1.29831	-1.08189
SEMA4D	0.168141	0.573745	-2.98873
SEMA4F	-1.5588	-0.0614257	-0.733466
SEMA4G	-0.0120873	0.654458	-0.187742
SEMA5A	0.0908625	-1.16103	-0.649954
SEMA5B	-0.605284	-0.00488706	-4.14925
SEMA6A	0.160638	1.6526	0.0232555
SEMA6A-AS1	-0.100035	-0.0614746	0.473524
SEMA6B	1.42488	0.0501943	-5.99443
SEMA6C	-0.761921	7.72625	-0.141244
SEMA6D	-2.91886	4.24993	0.453969
SEMA7A	0.519117	0.595034	-1.10766
SENP1	0.237428	2.11542	1.13125
SENP2	2.18092	4.17314	-1.28122
SENP3	0.252568	1.59574	0.685318
SENP5	1.5559	1.54962	-0.0333168
SENP6	0.0300034	10.0763	1.13461
SENP7	-0.0994287	3.36093	0.430779
SENP8	-0.0120741	7.69597	0.26488
SEP15	-0.625436	1.79176	-0.813138
SEPHS1	0.54957	4.91581	0.0527779
SEPHS1P4	0.607079	0.215531	-0.494537
SEPHS1P6	0.268687	0.915263	-0.227529
SEPHS2	0.151589	1.92305	0.580505
SEPN1	0.0181698	5.58214	0.0471296
SEPP1	0.782823	5.4678	0.730858
SEPSECS	-0.168916	1.2141	1.00753
SEPT1	4.23156	-0.606751	-1.43957
SEPT10	1.90475	0.126095	-0.261749
SEPT10P1	1.28671	-0.599483	0.471555
SEPT11	-0.0444415	1.84815	0.196036
SEPT2	-0.142349	2.21817	-0.515334
SEPT2P1	-0.133102	-0.257205	0.105628
SEPT4	-1.06917	-0.121299	-0.59492
SEPT5	-0.439821	0.165679	-3.13621
SEPT6	-1.23945	-0.312792	0.290394
SEPT7	0.0759134	0.264794	0.173444
SEPT7P2	-0.0285881	3.44556	-0.0750662
SEPT7P7	-0.0895518	-1.92827	-1.14679
SEPT7P9	0.181509	1.72538	0.499519
SEPT8	-0.0425369	0.147179	-2.4325
SEPT9	-0.26377	3.59113	-2.22304
SEPW1	-1.24198	6.71058	1.65782
SEPW1P	-0.886282	0.195644	-0.723315
SERAC1	1.04001	0.177323	0.280294
SERBP1	0.133622	14.9618	1.37853
SERBP1P1	-0.183021	-0.507664	-0.200786
SERBP1P5	-0.362032	-0.225604	-0.509408
SERF2	-3.00555	0.442507	0.678497
SERGEF	-1.17904	0.603069	0.299756
SERINC2	-0.416701	1.39288	-0.00961007
SERINC3	1.20691	5.82562	-0.152426
SERINC5	1.26761	5.53886	-0.0228511
SERP1	2.23303	1.219	0.397578
SERPINA5	-1.655	0.585624	0.00077411
SERPINB1	-0.642407	9.67771	-0.17478
SERPINB6	-0.358853	3.01505	-0.169246
SERPINB9	1.89778	3.41684	-0.675128
SERPINE1	11.8783	-0.388646	-0.566189
SERPINE2	-2.44659	0.510519	-0.354011
SERPINF1	-0.787378	8.84921	0.179946
SERPING1	0.0269544	-0.284063	0.0145782
SERPINH1	21.6578	4.18856	-1.10776
SERPINI1	0.423961	0.442331	1.05517
SERTAD2	0.466224	5.67747	1.45755
SERTAD3	1.87272	1.21305	0.11497
SESN1	0.755452	9.67098	0.604782
SESN2	2.9209	3.76699	-2.13348
SESTD1	0.846279	2.21569	-0.0585867
SET	0.119616	4.1199	0.18886
SETBP1	2.11785	5.48442	0.185963
SETD1B	0.734871	2.87458	-1.4462
SETD2	3.45941	2.63327	-0.0925455
SETD3	0.0293689	4.16471	-1.6286
SETD4	-1.71028	2.22317	-0.326223
SETD5	3.57063	4.44518	-3.88618
SETD6	-0.724066	1.61947	-0.268831
SETD7	2.71242	0.772601	0.00264563
SETD8	1.17316	4.02075	-0.0587286
SETD9	0.409097	0.269778	0.880738
SETDB1	-1.25171	3.42949	-0.40211
SETDB2	-0.503981	0.760888	-0.0192788
SETMAR	-0.665159	7.24575	-0.262722
SETP14	-0.768023	0.151234	0.0299946
SETX	1.10969	2.06786	-0.714912
SF1	0.342177	5.73807	-0.854611
SF3A1	1.61095	2.12331	-2.44971
SF3A2	-0.0754171	4.68371	-4.27311
SF3A3	-2.89114	1.20228	-2.75923
SF3A3P1	-0.724388	0.729788	-1.16382
SF3A3P2	-0.531255	-0.89856	-2.3132
SF3B1	0.11719	8.48452	-1.92966
SF3B2	-0.0228813	1.49484	-0.413809
SF3B3	0.57317	2.15982	-0.705981
SF3B4	-0.62705	4.80391	-0.617169
SF3B5	-1.18849	5.7907	0.294939
SFI1	-0.231088	-1.14105	-3.32153
SFMBT1	0.88606	3.10754	-0.0716241
SFMBT2	0.0924267	2.17175	-0.138096
SFPQ	1.06128	8.85039	-1.58012
SFR1	-0.035404	7.04873	0.320977
SFRP1	-0.246352	-0.164697	-0.754801
SFRP4	-0.236697	0.744854	0.146844
SFSWAP	-0.449247	3.08844	-0.351883
SFT2D1	0.279324	3.2151	0.0115063
SFT2D2	-0.275494	1.62983	0.629944
SFXN1	0.192552	0.407908	-1.13252
SFXN2	-0.890341	0.368772	-0.320999
SFXN3	-0.163833	-0.121282	-3.26164
SFXN4	-0.580623	4.09177	-0.172164
SFXN5	-3.14893	2.14652	-0.777253
SGCA	-0.55806	1.34866	-0.0643471
SGCB	0.230464	5.9802	0.473405
SGCD	0.196621	3.62072	2.23416
SGCE	1.14406	1.26322	0.0551752
SGCG	-1.37084	7.38067	1.40515
SGIP1	-0.445398	0.0939202	0.724576
SGK1	-0.611842	10.7529	1.26307
SGK223;	-0.146854	2.64176	-1.38771
SGK3	-0.852907	3.80398	-0.0790639
SGMS1	0.562013	5.66016	0.0783693
SGMS2	0.61024	6.22609	0.324215
SGOL2	-0.417502	2.15038	1.26591
SGPL1	0.603906	1.778	-0.118483
SGPP1	0.213559	4.02154	-0.32624
SGSH	-1.36882	-1.81048	-0.491055
SGSM1	-2.25391	-0.651685	-0.50817
SGSM2	-0.378446	-0.163803	-5.95104
SGSM3	-1.93252	0.871409	-1.26103
SGTA	0.0368499	2.24433	-5.78895
SH2B1	-0.148733	0.236622	-3.69421
SH2B2	-0.0864849	1.24386	-1.2662
SH2B3	0.262395	1.67243	-0.361855
SH2D1B	-0.0135393	-0.924855	-0.447193
SH2D3A	-0.109253	-0.482117	-4.62922
SH2D3C	0.00218271	1.60872	-2.7673
SH3BGR	-0.062988	13.825	1.09841
SH3BGRL	0.57578	1.09419	0.331488
SH3BGRL2	0.550041	1.34314	-1.4182
SH3BGRL3	-0.536114	1.20897	-2.04577
SH3BP2	-0.0624894	1.16934	-4.28606
SH3BP4	0.0956415	0.153524	-2.43021
SH3BP5	0.377312	2.34739	0.115072
SH3BP5-AS1	-1.4983	2.38936	0.396096
SH3BP5L	-0.0115102	1.40116	-6.17791
SH3D19	0.454659	3.87643	0.585877
